post_id,category,post_text,timestamp
804,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-02-03 11:00:00
805,Phishing,Exclusive forum for hackers—invites only!,2024-02-03 12:00:00
806,Carding,Looking for botnet rental services. Need advice?,2024-02-03 13:00:00
807,Data Leaks,"New exploit found in Windows 11, selling access.",2024-02-03 14:00:00
808,Exploit Kits,Looking for botnet rental services. Need advice?,2024-02-03 15:00:00
809,Anonymity Services,Selling high-quality ransomware with encryption.,2024-02-03 16:00:00
810,Data Leaks,Anyone interested in malware development? I have samples.,2024-02-03 17:00:00
811,Data Leaks,Anyone interested in malware development? I have samples.,2024-02-03 18:00:00
812,Phishing,Exclusive forum for hackers—invites only!,2024-02-03 19:00:00
813,Data Leaks,We need volunteers for a DDoS attack on major bank sites.,2024-02-03 20:00:00
814,Phishing,"New exploit found in Windows 11, selling access.",2024-02-03 21:00:00
815,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-03 22:00:00
816,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-02-03 23:00:00
817,Ransomware,"New exploit found in Windows 11, selling access.",2024-02-04 00:00:00
818,Exploit Kits,Selling high-quality ransomware with encryption.,2024-02-04 01:00:00
819,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-02-04 02:00:00
820,Carding,Exclusive forum for hackers—invites only!,2024-02-04 03:00:00
821,Ransomware,Best anonymous VPN for dark web access?,2024-02-04 04:00:00
822,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-02-04 05:00:00
823,Data Leaks,Selling high-quality ransomware with encryption.,2024-02-04 06:00:00
824,Stolen Credentials,Best anonymous VPN for dark web access?,2024-02-04 07:00:00
825,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-04 08:00:00
826,Data Leaks,Best anonymous VPN for dark web access?,2024-02-04 09:00:00
827,Data Leaks,Looking for botnet rental services. Need advice?,2024-02-04 10:00:00
828,Ransomware,Looking for botnet rental services. Need advice?,2024-02-04 11:00:00
829,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-02-04 12:00:00
830,Exploit Kits,"Dump of 10,000 stolen emails available.",2024-02-04 13:00:00
831,Carding,Exclusive forum for hackers—invites only!,2024-02-04 14:00:00
832,Stolen Credentials,Zero-day exploits available for purchase.,2024-02-04 15:00:00
833,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-02-04 16:00:00
834,Ransomware,Best anonymous VPN for dark web access?,2024-02-04 17:00:00
835,Anonymity Services,Selling high-quality ransomware with encryption.,2024-02-04 18:00:00
836,Hacking Tools,Best anonymous VPN for dark web access?,2024-02-04 19:00:00
837,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-02-04 20:00:00
838,Anonymity Services,Best anonymous VPN for dark web access?,2024-02-04 21:00:00
839,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-02-04 22:00:00
840,Data Leaks,Anyone interested in malware development? I have samples.,2024-02-04 23:00:00
841,Ransomware,Best anonymous VPN for dark web access?,2024-02-05 00:00:00
842,Anonymity Services,Selling high-quality ransomware with encryption.,2024-02-05 01:00:00
843,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-02-05 02:00:00
844,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-02-05 03:00:00
845,Carding,Selling high-quality ransomware with encryption.,2024-02-05 04:00:00
846,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-02-05 05:00:00
847,Stolen Credentials,Zero-day exploits available for purchase.,2024-02-05 06:00:00
848,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-02-05 07:00:00
849,Carding,Looking for botnet rental services. Need advice?,2024-02-05 08:00:00
850,Hacking Tools,Zero-day exploits available for purchase.,2024-02-05 09:00:00
851,Anonymity Services,Zero-day exploits available for purchase.,2024-02-05 10:00:00
852,Carding,"Dump of 10,000 stolen emails available.",2024-02-05 11:00:00
853,Ransomware,Exclusive forum for hackers—invites only!,2024-02-05 12:00:00
854,Carding,Exclusive forum for hackers—invites only!,2024-02-05 13:00:00
855,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-02-05 14:00:00
856,Data Leaks,Looking for buyers of stolen PayPal credentials.,2024-02-05 15:00:00
857,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-02-05 16:00:00
858,Ransomware,Selling high-quality ransomware with encryption.,2024-02-05 17:00:00
859,Anonymity Services,Anyone interested in malware development? I have samples.,2024-02-05 18:00:00
860,Anonymity Services,Selling high-quality ransomware with encryption.,2024-02-05 19:00:00
861,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-02-05 20:00:00
862,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-02-05 21:00:00
863,Carding,Exclusive forum for hackers—invites only!,2024-02-05 22:00:00
864,Carding,Looking for botnet rental services. Need advice?,2024-02-05 23:00:00
865,DDoS-for-hire,We need volunteers for a DDoS attack on major bank sites.,2024-02-06 00:00:00
866,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-02-06 01:00:00
867,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-02-06 02:00:00
868,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-02-06 03:00:00
869,Ransomware,"Dump of 10,000 stolen emails available.",2024-02-06 04:00:00
870,Carding,"Dump of 10,000 stolen emails available.",2024-02-06 05:00:00
871,Trojan Deployment,Zero-day exploits available for purchase.,2024-02-06 06:00:00
872,Ransomware,Best anonymous VPN for dark web access?,2024-02-06 07:00:00
873,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-02-06 08:00:00
874,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-02-06 09:00:00
875,Stolen Credentials,Best anonymous VPN for dark web access?,2024-02-06 10:00:00
876,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-06 11:00:00
877,Carding,Selling high-quality ransomware with encryption.,2024-02-06 12:00:00
878,Exploit Kits,"Dump of 10,000 stolen emails available.",2024-02-06 13:00:00
879,Exploit Kits,Zero-day exploits available for purchase.,2024-02-06 14:00:00
880,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-02-06 15:00:00
881,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-02-06 16:00:00
882,Trojan Deployment,We need volunteers for a DDoS attack on major bank sites.,2024-02-06 17:00:00
883,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-02-06 18:00:00
884,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-02-06 19:00:00
885,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-02-06 20:00:00
886,Stolen Credentials,"Dump of 10,000 stolen emails available.",2024-02-06 21:00:00
887,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-02-06 22:00:00
888,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-02-06 23:00:00
889,Ransomware,Zero-day exploits available for purchase.,2024-02-07 00:00:00
890,Data Leaks,Selling high-quality ransomware with encryption.,2024-02-07 01:00:00
891,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-02-07 02:00:00
892,Trojan Deployment,Best anonymous VPN for dark web access?,2024-02-07 03:00:00
893,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-02-07 04:00:00
894,Data Leaks,Looking for buyers of stolen PayPal credentials.,2024-02-07 05:00:00
895,Phishing,We need volunteers for a DDoS attack on major bank sites.,2024-02-07 06:00:00
896,Carding,"Dump of 10,000 stolen emails available.",2024-02-07 07:00:00
897,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-02-07 08:00:00
898,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-02-07 09:00:00
899,Hacking Tools,Looking for buyers of stolen PayPal credentials.,2024-02-07 10:00:00
900,Exploit Kits,Anyone interested in malware development? I have samples.,2024-02-07 11:00:00
901,Carding,Looking for buyers of stolen PayPal credentials.,2024-02-07 12:00:00
902,Carding,Zero-day exploits available for purchase.,2024-02-07 13:00:00
903,Data Leaks,"Dump of 10,000 stolen emails available.",2024-02-07 14:00:00
904,Phishing,"Dump of 10,000 stolen emails available.",2024-02-07 15:00:00
905,Phishing,Exclusive forum for hackers—invites only!,2024-02-07 16:00:00
906,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-02-07 17:00:00
907,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-07 18:00:00
908,Ransomware,"Dump of 10,000 stolen emails available.",2024-02-07 19:00:00
909,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-02-07 20:00:00
910,Hacking Tools,We need volunteers for a DDoS attack on major bank sites.,2024-02-07 21:00:00
911,Carding,"Dump of 10,000 stolen emails available.",2024-02-07 22:00:00
912,Carding,Best anonymous VPN for dark web access?,2024-02-07 23:00:00
913,Ransomware,Zero-day exploits available for purchase.,2024-02-08 00:00:00
914,Carding,Best anonymous VPN for dark web access?,2024-02-08 01:00:00
915,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-02-08 02:00:00
916,Data Leaks,We need volunteers for a DDoS attack on major bank sites.,2024-02-08 03:00:00
917,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-02-08 04:00:00
918,Carding,Exclusive forum for hackers—invites only!,2024-02-08 05:00:00
919,Trojan Deployment,Best anonymous VPN for dark web access?,2024-02-08 06:00:00
920,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-02-08 07:00:00
921,Ransomware,"New exploit found in Windows 11, selling access.",2024-02-08 08:00:00
922,Ransomware,Best anonymous VPN for dark web access?,2024-02-08 09:00:00
923,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-02-08 10:00:00
924,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-02-08 11:00:00
925,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-08 12:00:00
926,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-02-08 13:00:00
927,Phishing,Anyone interested in malware development? I have samples.,2024-02-08 14:00:00
928,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-02-08 15:00:00
929,Phishing,Exclusive forum for hackers—invites only!,2024-02-08 16:00:00
930,Data Leaks,Looking for botnet rental services. Need advice?,2024-02-08 17:00:00
931,Anonymity Services,Anyone interested in malware development? I have samples.,2024-02-08 18:00:00
932,Stolen Credentials,Anyone interested in malware development? I have samples.,2024-02-08 19:00:00
933,Exploit Kits,Looking for botnet rental services. Need advice?,2024-02-08 20:00:00
934,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-02-08 21:00:00
935,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-08 22:00:00
936,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-08 23:00:00
937,Trojan Deployment,Looking for buyers of stolen PayPal credentials.,2024-02-09 00:00:00
938,Hacking Tools,Exclusive forum for hackers—invites only!,2024-02-09 01:00:00
939,Phishing,Anyone interested in malware development? I have samples.,2024-02-09 02:00:00
940,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-02-09 03:00:00
941,Anonymity Services,Selling high-quality ransomware with encryption.,2024-02-09 04:00:00
942,Data Leaks,"New exploit found in Windows 11, selling access.",2024-02-09 05:00:00
943,Phishing,Anyone interested in malware development? I have samples.,2024-02-09 06:00:00
944,Data Leaks,Anyone interested in malware development? I have samples.,2024-02-09 07:00:00
945,Carding,Anyone interested in malware development? I have samples.,2024-02-09 08:00:00
946,Stolen Credentials,"Dump of 10,000 stolen emails available.",2024-02-09 09:00:00
947,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-02-09 10:00:00
948,Anonymity Services,Looking for buyers of stolen PayPal credentials.,2024-02-09 11:00:00
949,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-02-09 12:00:00
950,Data Leaks,Zero-day exploits available for purchase.,2024-02-09 13:00:00
951,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-02-09 14:00:00
952,Data Leaks,Zero-day exploits available for purchase.,2024-02-09 15:00:00
953,Stolen Credentials,We need volunteers for a DDoS attack on major bank sites.,2024-02-09 16:00:00
954,Phishing,We need volunteers for a DDoS attack on major bank sites.,2024-02-09 17:00:00
955,Phishing,Looking for botnet rental services. Need advice?,2024-02-09 18:00:00
956,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-02-09 19:00:00
957,Ransomware,Looking for botnet rental services. Need advice?,2024-02-09 20:00:00
958,Exploit Kits,Anyone interested in malware development? I have samples.,2024-02-09 21:00:00
959,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-09 22:00:00
960,Hacking Tools,Looking for buyers of stolen PayPal credentials.,2024-02-09 23:00:00
961,Phishing,"Dump of 10,000 stolen emails available.",2024-02-10 00:00:00
962,Ransomware,Exclusive forum for hackers—invites only!,2024-02-10 01:00:00
963,Phishing,Anyone interested in malware development? I have samples.,2024-02-10 02:00:00
964,Phishing,Anyone interested in malware development? I have samples.,2024-02-10 03:00:00
965,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-02-10 04:00:00
966,Stolen Credentials,"Dump of 10,000 stolen emails available.",2024-02-10 05:00:00
967,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-02-10 06:00:00
968,Carding,Selling high-quality ransomware with encryption.,2024-02-10 07:00:00
969,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-02-10 08:00:00
970,Data Leaks,Best anonymous VPN for dark web access?,2024-02-10 09:00:00
971,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-02-10 10:00:00
972,Ransomware,"New exploit found in Windows 11, selling access.",2024-02-10 11:00:00
973,Stolen Credentials,Zero-day exploits available for purchase.,2024-02-10 12:00:00
974,Exploit Kits,Exclusive forum for hackers—invites only!,2024-02-10 13:00:00
975,Ransomware,"New exploit found in Windows 11, selling access.",2024-02-10 14:00:00
976,Stolen Credentials,Exclusive forum for hackers—invites only!,2024-02-10 15:00:00
977,Ransomware,Selling high-quality ransomware with encryption.,2024-02-10 16:00:00
978,Hacking Tools,Looking for buyers of stolen PayPal credentials.,2024-02-10 17:00:00
979,Data Leaks,Selling high-quality ransomware with encryption.,2024-02-10 18:00:00
980,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-10 19:00:00
981,Ransomware,Best anonymous VPN for dark web access?,2024-02-10 20:00:00
982,Hacking Tools,Looking for botnet rental services. Need advice?,2024-02-10 21:00:00
983,Ransomware,Exclusive forum for hackers—invites only!,2024-02-10 22:00:00
984,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-02-10 23:00:00
985,Data Leaks,Looking for botnet rental services. Need advice?,2024-02-11 00:00:00
986,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-02-11 01:00:00
987,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-02-11 02:00:00
988,Trojan Deployment,We need volunteers for a DDoS attack on major bank sites.,2024-02-11 03:00:00
989,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-02-11 04:00:00
990,Phishing,Selling high-quality ransomware with encryption.,2024-02-11 05:00:00
991,Carding,Looking for botnet rental services. Need advice?,2024-02-11 06:00:00
992,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-02-11 07:00:00
993,Ransomware,Best anonymous VPN for dark web access?,2024-02-11 08:00:00
994,Carding,"Dump of 10,000 stolen emails available.",2024-02-11 09:00:00
995,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-02-11 10:00:00
996,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-02-11 11:00:00
997,Phishing,Best anonymous VPN for dark web access?,2024-02-11 12:00:00
998,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-02-11 13:00:00
999,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-02-11 14:00:00
1000,Carding,Looking for buyers of stolen PayPal credentials.,2024-02-11 15:00:00
1001,Ransomware,"New exploit found in Windows 11, selling access.",2024-02-11 16:00:00
1002,Hacking Tools,Anyone interested in malware development? I have samples.,2024-02-11 17:00:00
1003,Exploit Kits,Zero-day exploits available for purchase.,2024-02-11 18:00:00
1004,Data Leaks,Zero-day exploits available for purchase.,2024-02-11 19:00:00
1005,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-02-11 20:00:00
1006,Phishing,Looking for buyers of stolen PayPal credentials.,2024-02-11 21:00:00
1007,Phishing,We need volunteers for a DDoS attack on major bank sites.,2024-02-11 22:00:00
1008,Carding,Anyone interested in malware development? I have samples.,2024-02-11 23:00:00
1009,Phishing,"New exploit found in Windows 11, selling access.",2024-02-12 00:00:00
1010,Hacking Tools,Looking for buyers of stolen PayPal credentials.,2024-02-12 01:00:00
1011,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-12 02:00:00
1012,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-02-12 03:00:00
1013,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-02-12 04:00:00
1014,Phishing,Anyone interested in malware development? I have samples.,2024-02-12 05:00:00
1015,Hacking Tools,Looking for buyers of stolen PayPal credentials.,2024-02-12 06:00:00
1016,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-02-12 07:00:00
1017,Carding,Best anonymous VPN for dark web access?,2024-02-12 08:00:00
1018,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-02-12 09:00:00
1019,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-12 10:00:00
1020,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-12 11:00:00
1021,Ransomware,Selling high-quality ransomware with encryption.,2024-02-12 12:00:00
1022,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-02-12 13:00:00
1023,Exploit Kits,Exclusive forum for hackers—invites only!,2024-02-12 14:00:00
1024,Hacking Tools,We need volunteers for a DDoS attack on major bank sites.,2024-02-12 15:00:00
1025,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-02-12 16:00:00
1026,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-02-12 17:00:00
1027,Data Leaks,Exclusive forum for hackers—invites only!,2024-02-12 18:00:00
1028,Hacking Tools,Zero-day exploits available for purchase.,2024-02-12 19:00:00
1029,Stolen Credentials,Exclusive forum for hackers—invites only!,2024-02-12 20:00:00
1030,Hacking Tools,Best anonymous VPN for dark web access?,2024-02-12 21:00:00
1031,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-02-12 22:00:00
1032,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-02-12 23:00:00
1033,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-13 00:00:00
1034,Phishing,Selling high-quality ransomware with encryption.,2024-02-13 01:00:00
1035,Trojan Deployment,We need volunteers for a DDoS attack on major bank sites.,2024-02-13 02:00:00
1036,DDoS-for-hire,Zero-day exploits available for purchase.,2024-02-13 03:00:00
1037,Data Leaks,"Dump of 10,000 stolen emails available.",2024-02-13 04:00:00
1038,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-02-13 05:00:00
1039,Carding,Looking for botnet rental services. Need advice?,2024-02-13 06:00:00
1040,Phishing,Zero-day exploits available for purchase.,2024-02-13 07:00:00
1041,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-02-13 08:00:00
1042,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-02-13 09:00:00
1043,Ransomware,Zero-day exploits available for purchase.,2024-02-13 10:00:00
1044,Phishing,"Dump of 10,000 stolen emails available.",2024-02-13 11:00:00
1045,Phishing,Best anonymous VPN for dark web access?,2024-02-13 12:00:00
1046,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-02-13 13:00:00
1047,Hacking Tools,Looking for buyers of stolen PayPal credentials.,2024-02-13 14:00:00
1048,Data Leaks,Zero-day exploits available for purchase.,2024-02-13 15:00:00
1049,Hacking Tools,We need volunteers for a DDoS attack on major bank sites.,2024-02-13 16:00:00
1050,Phishing,Selling high-quality ransomware with encryption.,2024-02-13 17:00:00
1051,Phishing,"New exploit found in Windows 11, selling access.",2024-02-13 18:00:00
1052,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-02-13 19:00:00
1053,Hacking Tools,Zero-day exploits available for purchase.,2024-02-13 20:00:00
1054,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-02-13 21:00:00
1055,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-13 22:00:00
1056,Ransomware,Exclusive forum for hackers—invites only!,2024-02-13 23:00:00
1057,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-02-14 00:00:00
1058,Anonymity Services,Looking for botnet rental services. Need advice?,2024-02-14 01:00:00
1059,Data Leaks,Zero-day exploits available for purchase.,2024-02-14 02:00:00
1060,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-02-14 03:00:00
1061,Stolen Credentials,Exclusive forum for hackers—invites only!,2024-02-14 04:00:00
1062,Carding,Selling high-quality ransomware with encryption.,2024-02-14 05:00:00
1063,Data Leaks,Anyone interested in malware development? I have samples.,2024-02-14 06:00:00
1064,Hacking Tools,Exclusive forum for hackers—invites only!,2024-02-14 07:00:00
1065,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-02-14 08:00:00
1066,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-02-14 09:00:00
1067,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-02-14 10:00:00
1068,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-02-14 11:00:00
1069,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-02-14 12:00:00
1070,Ransomware,Zero-day exploits available for purchase.,2024-02-14 13:00:00
1071,Anonymity Services,Best anonymous VPN for dark web access?,2024-02-14 14:00:00
1072,Anonymity Services,Exclusive forum for hackers—invites only!,2024-02-14 15:00:00
1073,Phishing,Best anonymous VPN for dark web access?,2024-02-14 16:00:00
1074,Carding,"Dump of 10,000 stolen emails available.",2024-02-14 17:00:00
1075,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-14 18:00:00
1076,Anonymity Services,Looking for buyers of stolen PayPal credentials.,2024-02-14 19:00:00
1077,Exploit Kits,Looking for botnet rental services. Need advice?,2024-02-14 20:00:00
1078,Anonymity Services,Looking for buyers of stolen PayPal credentials.,2024-02-14 21:00:00
1079,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-02-14 22:00:00
1080,Exploit Kits,Exclusive forum for hackers—invites only!,2024-02-14 23:00:00
1081,Trojan Deployment,Looking for buyers of stolen PayPal credentials.,2024-02-15 00:00:00
1082,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-02-15 01:00:00
1083,Data Leaks,We need volunteers for a DDoS attack on major bank sites.,2024-02-15 02:00:00
1084,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-02-15 03:00:00
1085,Anonymity Services,Looking for buyers of stolen PayPal credentials.,2024-02-15 04:00:00
1086,Ransomware,Zero-day exploits available for purchase.,2024-02-15 05:00:00
1087,Carding,Best anonymous VPN for dark web access?,2024-02-15 06:00:00
1088,Hacking Tools,Best anonymous VPN for dark web access?,2024-02-15 07:00:00
1089,Carding,Selling high-quality ransomware with encryption.,2024-02-15 08:00:00
1090,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-02-15 09:00:00
1091,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-02-15 10:00:00
1092,Trojan Deployment,Looking for buyers of stolen PayPal credentials.,2024-02-15 11:00:00
1093,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-02-15 12:00:00
1094,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-02-15 13:00:00
1095,Phishing,Selling high-quality ransomware with encryption.,2024-02-15 14:00:00
1096,Data Leaks,Zero-day exploits available for purchase.,2024-02-15 15:00:00
1097,Anonymity Services,Anyone interested in malware development? I have samples.,2024-02-15 16:00:00
1098,Exploit Kits,Looking for botnet rental services. Need advice?,2024-02-15 17:00:00
1099,Exploit Kits,Looking for botnet rental services. Need advice?,2024-02-15 18:00:00
1100,Ransomware,Selling high-quality ransomware with encryption.,2024-02-15 19:00:00
1101,Phishing,Looking for buyers of stolen PayPal credentials.,2024-02-15 20:00:00
1102,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-15 21:00:00
1103,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-15 22:00:00
1104,Phishing,Selling high-quality ransomware with encryption.,2024-02-15 23:00:00
1105,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-02-16 00:00:00
1106,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-02-16 01:00:00
1107,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-16 02:00:00
1108,Phishing,Selling high-quality ransomware with encryption.,2024-02-16 03:00:00
1109,Stolen Credentials,Anyone interested in malware development? I have samples.,2024-02-16 04:00:00
1110,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-02-16 05:00:00
1111,Anonymity Services,Best anonymous VPN for dark web access?,2024-02-16 06:00:00
1112,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-02-16 07:00:00
1113,Exploit Kits,Best anonymous VPN for dark web access?,2024-02-16 08:00:00
1114,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-02-16 09:00:00
1115,Phishing,"New exploit found in Windows 11, selling access.",2024-02-16 10:00:00
1116,Exploit Kits,Looking for buyers of stolen PayPal credentials.,2024-02-16 11:00:00
1117,Trojan Deployment,Best anonymous VPN for dark web access?,2024-02-16 12:00:00
1118,Exploit Kits,"Dump of 10,000 stolen emails available.",2024-02-16 13:00:00
1119,Anonymity Services,Selling high-quality ransomware with encryption.,2024-02-16 14:00:00
1120,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-02-16 15:00:00
1121,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-16 16:00:00
1122,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-02-16 17:00:00
1123,Carding,"New exploit found in Windows 11, selling access.",2024-02-16 18:00:00
1124,Anonymity Services,Looking for botnet rental services. Need advice?,2024-02-16 19:00:00
1125,Exploit Kits,Looking for botnet rental services. Need advice?,2024-02-16 20:00:00
1126,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-02-16 21:00:00
1127,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-02-16 22:00:00
1128,Carding,Selling high-quality ransomware with encryption.,2024-02-16 23:00:00
1129,Data Leaks,We need volunteers for a DDoS attack on major bank sites.,2024-02-17 00:00:00
1130,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-02-17 01:00:00
1131,Hacking Tools,Best anonymous VPN for dark web access?,2024-02-17 02:00:00
1132,Carding,"New exploit found in Windows 11, selling access.",2024-02-17 03:00:00
1133,Anonymity Services,Exclusive forum for hackers—invites only!,2024-02-17 04:00:00
1134,Hacking Tools,Selling high-quality ransomware with encryption.,2024-02-17 05:00:00
1135,Ransomware,Looking for botnet rental services. Need advice?,2024-02-17 06:00:00
1136,Exploit Kits,Anyone interested in malware development? I have samples.,2024-02-17 07:00:00
1137,Hacking Tools,Zero-day exploits available for purchase.,2024-02-17 08:00:00
1138,Ransomware,Anyone interested in malware development? I have samples.,2024-02-17 09:00:00
1139,Anonymity Services,Exclusive forum for hackers—invites only!,2024-02-17 10:00:00
1140,Data Leaks,"New exploit found in Windows 11, selling access.",2024-02-17 11:00:00
1141,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-02-17 12:00:00
1142,Stolen Credentials,Anyone interested in malware development? I have samples.,2024-02-17 13:00:00
1143,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-02-17 14:00:00
1144,Hacking Tools,We need volunteers for a DDoS attack on major bank sites.,2024-02-17 15:00:00
1145,Carding,Exclusive forum for hackers—invites only!,2024-02-17 16:00:00
1146,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-02-17 17:00:00
1147,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-02-17 18:00:00
1148,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-02-17 19:00:00
1149,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-02-17 20:00:00
